Id,competition,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,IndoorOutdoor,Cluster,City
ABT,Y,Alpensia Biathlon Centre,Centre biathlon Alpensia,알펜시아 바이애슬론 센터,Alpensia Biathlon Centre,Centre de biathlon d'Alpensia,알펜시아 바이애슬론 센터,O,PYE,PyeongChang
ACC,Y,Alpensia Cross-Ctry Ctr,Centre ski fond Alpensia,알펜시아 크로스컨트리 센터,Alpensia Cross-Country Skiing Centre,Centre de ski de fond d'Alpensia,알펜시아 크로스컨트리 센터,O,PYE,PyeongChang
AKA,N,Alpensia Key Area,Zone principale Alpensia,알펜시아 핵심지구,Alpensia Key Area,Zone principale d'Alpensia,알펜시아 핵심지구,,PYE,PyeongChang
AMC,N,Asan Medical Centre,Centre médical d'Asan,서울아산병원,Asan Medical Centre,Centre médical d'Asan,서울아산병원,,SEO,Seoul
AOS,N,Incheon Int Airp T1 Statn,Arrêt aér intl Incheon T1,인천 국제 공항 T1 역,Incheon International Airport T1 Station,Arrêt de l'aéroport international d'Incheon T1,인천 국제 공항 T1 역,,,
APD,N,Alpensia Depot,Dépôt d'Alpensia,알펜시아 차고지,Alpensia Depot,Dépôt d'Alpensia,알펜시아 차고지,,PYE,PyeongChang
ASJ,Y,Alpensia Ski Jumping Ctr,Centre saut ski Alpensia,알펜시아 스키점프 센터,Alpensia Ski Jumping Centre,Centre de saut à ski d'Alpensia,알펜시아 스키점프 센터,O,PYE,PyeongChang
ASL,Y,Olympic Sliding Centre,Centre olympique glisse,올림픽 슬라이딩 센터,Olympic Sliding Centre,Centre olympique de glisse,올림픽 슬라이딩 센터,O,PYE,PyeongChang
ASP,N,Alpensia Olympic Park,Parc olympique d'Alpensia,알펜시아올림픽파크,Alpensia Olympic Park,Parc olympique d'Alpensia,알펜시아올림픽파크,,PYE,PyeongChang
ATC,N,Alternate TOC,Alternative du CET,보조 기술운영센터,Secondary Technology Operations Centre,Alternative du centre d'exploitation technologique,보조 기술운영센터,,GNG,Gangneung 
ATM,N,Alpensia T3 transp. mall,Espla transp. T3 Alpensia,알펜시아 T3 수송몰,Alpensia T3 transport mall,Esplanade des transports T3 d'Alpensia,알펜시아 T3 수송몰,,PYE,PyeongChang
ATS,N,Incheon Int Airp T2 Statn,Arrêt aér intl Incheon T2,인천 국제 공항 T2 역,Incheon International Airport T2 Station,Arrêt de l'aéroport international d'Incheon T2,인천 국제 공항 T2 역,,,
BGT,N,Bogwang Transfer Station,Arrêt transfert Bokwang,보광 환승역,Bogwang Transfer Station,Arrêt de transfert de Bokwang,보광 환승역,,PYE,PyeongChang
BKD,N,Bokwang Depot,Dépôt de Bokwang,보광 차고지,Bokwang Depot,Dépôt de Bokwang,보광 차고지,,PYE,PyeongChang
BKT,N,Bukgangneung Transf Statn,Arrêt transf Bukgangneung,북강릉 환승역,Bukgangneung Transfer Station,Arrêt de transfert de Bukgangneung,북강릉 환승역,,,
BPT,N,Bongpyeong Transf Station,Arrêt transf Bongpyeong,봉평 환승역,Bongpyeong Transfer Station,Arrêt de transfert de Bongpyeong,봉평 환승역,,,
BSP,Y,Phoenix Snow Park,Parc de neige Phoenix,휘닉스 스노 파크,Phoenix Snow Park,Parc de neige Phoenix,휘닉스 스노 파크,O,PYE,PyeongChang
CAC,N,Coastal Accreditation Ctr,Centre accréd. littoral,코스탈 클러스터 유니폼배부 및 메인 등록센터,Coastal Accreditation Centre,Centre d'accréditation du Pôle du littoral,코스탈 클러스터 유니폼배부 및 메인 등록센터,,GNG,Gangneung 
CBC,N,Coastal Broadcast Centre ,Centre Radio/TV littoral,코스탈 방송 센터,Coastal Broadcast Centre ,Centre de radio et télévision du littoral,코스탈 방송 센터,,GNG,Gangneung 
CHP,N,Primary Core Hosting,Ctr hébergement principal,주 코어호스팅 센터,Primary Core Hosting,Centre d'hébergement principal,주 코어호스팅 센터,,,
CHS,N,Secondary Core Hosting,Ctr hébergement second.,부 코어호스팅 센터,Secondary Core Hosting,Centre d'hébergement secondaire,부 코어호스팅 센터,,,
CST,N,Coastal Superstore,Boutique du littoral,코스탈 슈퍼스토어,Coastal Superstore,Boutique du littoral,코스탈 슈퍼스토어,,GNG,Gangneung 
CTO,N,Coastal Ticketing Outlet,Billetterie du littoral,코스탈 입장권판매점,Coastal Ticketing Outlet,Billetterie du littoral,코스탈 입장권판매점,,GNG,Gangneung 
EDC,N,Equipment Deployment Ctr,Centre déploiement équip.,장비분배센터,Centre for depolyment of IT equipment,Centre de déploiement de l'équipement,장비분배센터,,,
GAC,N,Gangneung Art Center,Centre d'art de Gangneung,강릉아트센터,Gangneung Art Center,Centre d'art de Gangneung,강릉아트센터,,GNG,Gangneung 
GAH,N,Gangneung Asan Hospital,Hôpital Asan de Gangneung,강릉아산병원,Gangneung Asan Hospital,Hôpital Asan de Gangneung,강릉아산병원,,GNG,Gangneung 
GBD,N,Gangneung BUS Depot,Dépôt de bus de Gangneung,강릉 버스 차고지,Gangneung BUS Depot,Dépôt de bus de Gangneung,강릉 버스 차고지,,GNG,Gangneung 
GCC,Y,Gangneung Curling Centre,Centre curling Gangneung,강릉 컬링 센터,Gangneung Curling Centre,Centre de curling de Gangneung,강릉 컬링 센터,I,GNG,Gangneung 
GFC,N,Gangneung Fleet Call Ctr,Ctr appel véhic Gangneung,강릉 플릿 콜 센터,Gangneung Fleet Call Centre,Centre d'appel des véhicules de Gangneung,강릉 플릿 콜 센터,,GNG,Gangneung 
GFD,N,Gangneung Fleet Depot,Dépôt véhicule Gangneung,강릉 플릿 차고지,Gangneung Fleet Depot,Dépôt de véhicule de Gangneung,강릉 플릿 차고지,,GNG,Gangneung 
GHC,Y,Gangneung Hockey Centre,Centre hockey Gangneung ,강릉 하키 센터,Gangneung Hockey Centre,Centre de hockey de Gangneung,강릉 하키 센터,I,GNG,Gangneung 
GHT,N,Gangneung Hockey Training,Entr. hockey Gangneung,강릉 하키 연습경기장,Gangneung Hockey Training Centre,Centre d'entraînement de hockey de Gangneung,강릉 하키 연습경기장,,GNG,Gangneung 
GIA,Y,Gangneung Ice Arena,Palais des glaces,강릉 아이스 아레나,Gangneung Ice Arena,Palais des glaces de Gangneung ,강릉 아이스 아레나,I,GNG,Gangneung 
GKC,N,Gangneung K-Client Center,Ctr client clés Gangneung,강릉 키클라이언트센터,Gangneung Key-Client Center,Centre des clients clés de Gangneung,강릉 키클라이언트센터,,GNG,Gangneung 
GMP,N,Gimpo Int'l Airport,Aéroport intl. Gimpo,김포국제공항,Gimpo International Airport,Aéroport international de Gimpo,김포국제공항,,SEO,Seoul
GMV,N,Gangneung Media Village,Village médias Gangneung,강릉 미디어촌,Gangneung Media Village,Village des médias de Gangneung,강릉 미디어촌,,GNG,Gangneung 
GMW,N,Gangneung Media Workroom,Salle médias Gangneung,강릉 미디어 워크룸,Gangneung Media Workroom,Salle de travail des médias de Gangneung,강릉 미디어 워크룸,,GNG,Gangneung 
GNS,N,Gangneung Station,Gare de Gangneung,강릉역,Gangneung Station,Gare de Gangneung,강릉역,,GNG,Gangneung 
GNT,N,Gangneung Transf Station,Arrêt transfert Gangneung,강릉 환승역,Gangneung Transfer Station,Arrêt de transfert de Gangneung,강릉 환승역,,GNG,Gangneung 
GOP,N,Gangneung Olympic Park,Parc olym. Gangneung,강릉 올림픽 파크,Gangneung Olympic Park,Parc olympique de Gangneung,강릉 올림픽 파크,,GNG,Gangneung 
GOV,Y,Gangneung Oval,Ovale de Gangneung,강릉 스피드 스케이팅 경기장,Gangneung Oval,Ovale de Gangneung,강릉 스피드 스케이팅 경기장,I,GNG,Gangneung 
GRV,N,Gangneung Rem Veh Site,Contrôle véhic Gangneung,강릉원거리차량검색시설,Gangneung Remote Vehicle Screening Site,Site à distance de contrôle véhicules de Gangneung,강릉원거리차량검색시설,,GNG,Gangneung 
GST,N,Gangneung Stadium,Stade de Gangneung,강릉 스타디움,Gangneung Stadium,Stade de Gangneung,강릉 스타디움,,GNG,Gangneung 
GTC,N,Gangneung Ticketing Ctr,Billetterie Gangneung,2018 평창 동계올림픽 메인티켓센터 (강릉),Gangneung Ticketing Centre,Billetterie Gangneung,2018 평창 동계올림픽 메인티켓센터 (강릉),,GNG,Gangneung 
GTM,N,Gangneung T3 transp. mall,Espla. trans T3 Gangneung,강릉 T3 수송몰,Gangneung T3 transport mall,Esplanade des transports T3 de Gangneung,강릉 T3 수송몰,,GNG,Gangneung 
GVL,N,Gangneung Olympic Village,Village olymp. Gangneung,강릉 올림픽 선수촌,Gangneung Olympic Village,Village olympique de Gangneung,강릉 올림픽 선수촌,,GNG,Gangneung 
HBD,N,Hoenggye Bus Depot,Dépôt bus de Hoenggye,횡계 버스 차고지,Hoenggye Bus Depot,Dépôt de bus de Hoenggye,횡계 버스 차고지,,PYE,PyeongChang
HEY,N,Heyden700,Heyden700,헤이든700,Heyden700,Heyden700,헤이든700,,,
HFD,N,Hoenggye Fleet Depot,Dépôt véhicules Hoenggye,횡계 차량 차고지,Hoenggye Fleet Depot,Dépôt de véhicules de Hoenggye,횡계 차량 차고지,,PYE,PyeongChang
HGT,N,Hoenggye Transfer Station,Arrêt transfert Hoenggye,횡계 환승역,Hoenggye Transfer Station,Arrêt de transfert de Hoenggye,횡계 환승역,,PYE,PyeongChang
HJT,N,Hongje Transfer Station,Arrêt transfert Hongje,홍제 수송역,Hongje Transfer Station,Arrêt de transfert de Hongje,홍제 수송역,,,
HQ1,N,POCOG Headquarters,Siège du COJOP,평창조직위 본부,PyeongChang 2018 Main Office,Siège de PyeongChang 2018,평창조직위 본부,,PYE,PyeongChang
HQ2,N,POCOG Seoul Office,Bureau COJOP - Séoul,평창조직위 서울사무소,PyeongChang 2018 Secondary Office,Bureau secondaire de PyeongChang 2018,평창조직위 서울사무소,,SEO,Seoul
HQ3,N,POCOG Coastal Office,Bureau COJOP - Littoral,평창조직위 강릉사무소,PyeongChang 2018 Office in Gangneung,Bureau de PyeongChang 2018 à Gangneung,평창조직위 강릉사무소,,GNG,Gangneung 
HQ4,N,POCOG Ski Jumping Office,Bureau COJOP - Saut à ski,평창조직위 스키점프사무소,PyeongChang 2018 Office in Ski Jumping Venue,Bureau de PyeongChang 2018 au saut à ski,평창조직위 스키점프사무소,,PYE,PyeongChang
HQ5,N,POCOG KAL Office,Bureau COJOP - KAL,평창조직위 대한항공사무소,PyeongChang 2018 Office in Korean Air Headquarters,Bureau de PyeongChang 2018 à Korean Air,평창조직위 대한항공사무소,,SEO,Seoul
HST,N,Hoesan Transfer Station,Arrêt transfert Hoesan,호산 환승역,Hoesan Transfer Station,Arrêt de transfert de Hoesan,호산 환승역,,,
HTL,N,Hotels,Hôtels,호텔 공통,Hotels,Hôtels,호텔 공통,,,
IBC,N,Internat Broadcast Ctr ,Ctr intl radiodiffusion,국제 방송 센터,International Broadcast Centre ,Centre international de radio et de télévision,국제 방송 센터,,PYE,PyeongChang
