Discipline,Gender,Event,phase,Eventunit,schedule,medalflag,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,Level,Order,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,POR unit Description,SPA unit Description
SW,W,426,1,00,N,1,Women's 100m Backstroke - S6 Final,"100m costas feminino - S6, final","100m espalda fem - S6, final",Women's 100m Backstroke - S6 Final,"100m costas feminino - S6, final","100m espalda femenino - S6, final",Phase,14,NONE,N,N,Final,Final,Final
SW,W,426,1,01,Y,1,Women's 100m Backstroke - S6 Final,"100m costas feminino - S6, final","100m espalda fem - S6, final",Women's 100m Backstroke - S6 Final,"100m costas feminino - S6, final","100m espalda femenino - S6, final",EventUnit,15,ATH,Y,Y,Final,Final,Final
SW,W,426,9,00,Y,0,Women's 100m Backstroke - S6 Heats,"100m costas feminino - S6, eliminatórias","100m espalda fem - S6, eliminatorias",Women's 100m Backstroke - S6 Heats,"100m costas feminino - S6, eliminatórias","100m espalda femenino - S6, eliminatorias",Phase,14,NONE,Y,N,Heats,Eliminatórias,Eliminatorias
SW,W,426,9,01,Y,0,Women's 100m Backstroke - S6 Heat 1,"100m costas feminino - S6, série 1","100m espalda femenino - S6, serie 1",Women's 100m Backstroke - S6 Heat 1,"100m costas feminino - S6, série 1","100m espalda femenino - S6, serie 1",EventUnit,15,ATH,N,Y,Heat 1,Série 1,Serie 1
SW,W,426,9,02,Y,0,Women's 100m Backstroke - S6 Heat 2,"100m costas feminino - S6, série 2","100m espalda femenino - S6, serie 2",Women's 100m Backstroke - S6 Heat 2,"100m costas feminino - S6, série 2","100m espalda femenino - S6, serie 2",EventUnit,15,ATH,N,Y,Heat 2,Série 2,Serie 2
SW,W,426,9,03,Y,0,Women's 100m Backstroke - S6 Heat 3,"100m costas feminino - S6, série 3","100m espalda femenino - S6, serie 3",Women's 100m Backstroke - S6 Heat 3,"100m costas feminino - S6, série 3","100m espalda femenino - S6, serie 3",EventUnit,15,ATH,N,Y,Heat 3,Série 3,Serie 3
SW,W,426,9,04,Y,0,Women's 100m Backstroke - S6 Heat 4,"100m costas feminino - S6, série 4","100m espalda femenino - S6, serie 4",Women's 100m Backstroke - S6 Heat 4,"100m costas feminino - S6, série 4","100m espalda femenino - S6, serie 4",EventUnit,15,ATH,N,Y,Heat 4,Série 4,Serie 4
SW,W,426,9,05,Y,0,Women's 100m Backstroke - S6 Heat 5,"100m costas feminino - S6, série 5","100m espalda femenino - S6, serie 5",Women's 100m Backstroke - S6 Heat 5,"100m costas feminino - S6, série 5","100m espalda femenino - S6, serie 5",EventUnit,15,ATH,N,Y,Heat 5,Série 5,Serie 5
SW,W,426,9,06,Y,0,Women's 100m Backstroke - S6 Heat 6,"100m costas feminino - S6, série 6","100m espalda femenino - S6, serie 6",Women's 100m Backstroke - S6 Heat 6,"100m costas feminino - S6, série 6","100m espalda femenino - S6, serie 6",EventUnit,15,ATH,N,Y,Heat 6,Série 6,Serie 6
SW,W,426,9,07,Y,0,Women's 100m Backstroke - S6 Heat 7,"100m costas feminino - S6, série 7","100m espalda femenino - S6, serie 7",Women's 100m Backstroke - S6 Heat 7,"100m costas feminino - S6, série 7","100m espalda femenino - S6, serie 7",EventUnit,15,ATH,N,Y,Heat 7,Série 7,Serie 7
SW,W,426,9,08,Y,0,Women's 100m Backstroke - S6 Heat 8,"100m costas feminino - S6, série 8","100m espalda femenino - S6, serie 8",Women's 100m Backstroke - S6 Heat 8,"100m costas feminino - S6, série 8","100m espalda femenino - S6, serie 8",EventUnit,15,ATH,N,Y,Heat 8,Série 8,Serie 8
SW,W,426,9,09,Y,0,Women's 100m Backstroke - S6 Heat 9,"100m costas feminino - S6, série 9","100m espalda femenino - S6, serie 9",Women's 100m Backstroke - S6 Heat 9,"100m costas feminino - S6, série 9","100m espalda femenino - S6, serie 9",EventUnit,15,ATH,N,Y,Heat 9,Série 9,Serie 9
SW,W,426,9,10,Y,0,Women's 100m Backstroke - S6 Heat 10,"100m costas feminino - S6, série 10","100m espalda femenino - S6, serie 10",Women's 100m Backstroke - S6 Heat 10,"100m costas feminino - S6, série 10","100m espalda femenino - S6, serie 10",EventUnit,15,ATH,N,Y,Heat 10,Série 10,Serie 10
SW,W,426,9,50,N,0,Women's 100m Backstroke - S6 Hts S-off,"100m costas fem - S6, elim, desempates","100m espalda fem-S6, elim., desempates",Women's 100m Backstroke - S6 Heats Swim-off,"100m costas feminino - S6, eliminatórias, desempates","100m espalda femenino - S6, eliminatorias, desempates",Phase,14,NONE,N,N,Heats Swim-off,"Eliminatórias, desempates","Eliminatorias, desempates"
SW,W,426,9,51,Y,0,Women's 100m Backstroke - S6 Hts S-off 1,"100m costas fem - S6, elim, desempate 1","100m espalda fem-S6, elim., desempate 1",Women's 100m Backstroke - S6 Heats Swim-off 1,"100m costas feminino - S6, eliminatórias, desempate 1","100m espalda femenino - S6, eliminatorias, desempate 1",EventUnit,15,ATH,N,Y,Heats Swim-off 1,"Eliminatórias, desempate 1","Eliminatorias, desempate 1"
SW,W,426,9,52,Y,0,Women's 100m Backstroke - S6 Hts S-off 2,"100m costas fem - S6, elim, desempate 2","100m espalda fem-S6, elim., desempate 2",Women's 100m Backstroke - S6 Heats Swim-off 2,"100m costas feminino - S6, eliminatórias, desempate 2","100m espalda femenino - S6, eliminatorias, desempate 2",EventUnit,15,ATH,N,Y,Heats Swim-off 2,"Eliminatórias, desempate 2","Eliminatorias, desempate 2"
SW,W,426,9,53,Y,0,Women's 100m Backstroke - S6 Hts S-off 3,"100m costas fem - S6, elim, desempate 3","100m espalda fem-S6, elim., desempate 3",Women's 100m Backstroke - S6 Heats Swim-off 3,"100m costas feminino - S6, eliminatórias, desempate 3","100m espalda femenino - S6, eliminatorias, desempate 3",EventUnit,15,ATH,N,Y,Heats Swim-off 3,"Eliminatórias, desempate 3","Eliminatorias, desempate 3"
SW,W,426,M,00,Y,0,Women's 100m Backstroke - S6 VC,"100m costas feminino-S6, cer. premiação","100m espalda fem - S6, cer. medallas",Women's 100m Backstroke - S6 Victory Ceremony,"100m costas feminino - S6, cerimônia de premiação","100m espalda femenino - S6, ceremonia de entrega de medallas",Medals,17,NONE,N,Y,Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,W,427,0,00,N,0,Women's 100m Backstroke - S7,100m costas feminino - S7,100m espalda femenino - S7,Women's 100m Backstroke - S7,100m costas feminino - S7,100m espalda femenino - S7,Event,13,NONE,N,N,"","",
SW,W,427,1,00,N,1,Women's 100m Backstroke - S7 Final,"100m costas feminino - S7, final","100m espalda fem - S7, final",Women's 100m Backstroke - S7 Final,"100m costas feminino - S7, final","100m espalda femenino - S7, final",Phase,14,NONE,N,N,Final,Final,Final
SW,W,427,1,01,Y,1,Women's 100m Backstroke - S7 Final,"100m costas feminino - S7, final","100m espalda fem - S7, final",Women's 100m Backstroke - S7 Final,"100m costas feminino - S7, final","100m espalda femenino - S7, final",EventUnit,15,ATH,Y,Y,Final,Final,Final
SW,W,427,9,00,Y,0,Women's 100m Backstroke - S7 Heats,"100m costas feminino - S7, eliminatórias","100m espalda fem - S7, eliminatorias",Women's 100m Backstroke - S7 Heats,"100m costas feminino - S7, eliminatórias","100m espalda femenino - S7, eliminatorias",Phase,14,NONE,Y,N,Heats,Eliminatórias,Eliminatorias
SW,W,427,9,01,Y,0,Women's 100m Backstroke - S7 Heat 1,"100m costas feminino - S7, série 1","100m espalda femenino - S7, serie 1",Women's 100m Backstroke - S7 Heat 1,"100m costas feminino - S7, série 1","100m espalda femenino - S7, serie 1",EventUnit,15,ATH,N,Y,Heat 1,Série 1,Serie 1
SW,W,427,9,02,Y,0,Women's 100m Backstroke - S7 Heat 2,"100m costas feminino - S7, série 2","100m espalda femenino - S7, serie 2",Women's 100m Backstroke - S7 Heat 2,"100m costas feminino - S7, série 2","100m espalda femenino - S7, serie 2",EventUnit,15,ATH,N,Y,Heat 2,Série 2,Serie 2
SW,W,427,9,03,Y,0,Women's 100m Backstroke - S7 Heat 3,"100m costas feminino - S7, série 3","100m espalda femenino - S7, serie 3",Women's 100m Backstroke - S7 Heat 3,"100m costas feminino - S7, série 3","100m espalda femenino - S7, serie 3",EventUnit,15,ATH,N,Y,Heat 3,Série 3,Serie 3
SW,W,427,9,04,Y,0,Women's 100m Backstroke - S7 Heat 4,"100m costas feminino - S7, série 4","100m espalda femenino - S7, serie 4",Women's 100m Backstroke - S7 Heat 4,"100m costas feminino - S7, série 4","100m espalda femenino - S7, serie 4",EventUnit,15,ATH,N,Y,Heat 4,Série 4,Serie 4
SW,W,427,9,05,Y,0,Women's 100m Backstroke - S7 Heat 5,"100m costas feminino - S7, série 5","100m espalda femenino - S7, serie 5",Women's 100m Backstroke - S7 Heat 5,"100m costas feminino - S7, série 5","100m espalda femenino - S7, serie 5",EventUnit,15,ATH,N,Y,Heat 5,Série 5,Serie 5
SW,W,427,9,06,Y,0,Women's 100m Backstroke - S7 Heat 6,"100m costas feminino - S7, série 6","100m espalda femenino - S7, serie 6",Women's 100m Backstroke - S7 Heat 6,"100m costas feminino - S7, série 6","100m espalda femenino - S7, serie 6",EventUnit,15,ATH,N,Y,Heat 6,Série 6,Serie 6
SW,W,427,9,07,Y,0,Women's 100m Backstroke - S7 Heat 7,"100m costas feminino - S7, série 7","100m espalda femenino - S7, serie 7",Women's 100m Backstroke - S7 Heat 7,"100m costas feminino - S7, série 7","100m espalda femenino - S7, serie 7",EventUnit,15,ATH,N,Y,Heat 7,Série 7,Serie 7
SW,W,427,9,08,Y,0,Women's 100m Backstroke - S7 Heat 8,"100m costas feminino - S7, série 8","100m espalda femenino - S7, serie 8",Women's 100m Backstroke - S7 Heat 8,"100m costas feminino - S7, série 8","100m espalda femenino - S7, serie 8",EventUnit,15,ATH,N,Y,Heat 8,Série 8,Serie 8
SW,W,427,9,09,Y,0,Women's 100m Backstroke - S7 Heat 9,"100m costas feminino - S7, série 9","100m espalda femenino - S7, serie 9",Women's 100m Backstroke - S7 Heat 9,"100m costas feminino - S7, série 9","100m espalda femenino - S7, serie 9",EventUnit,15,ATH,N,Y,Heat 9,Série 9,Serie 9
SW,W,427,9,10,Y,0,Women's 100m Backstroke - S7 Heat 10,"100m costas feminino - S7, série 10","100m espalda femenino - S7, serie 10",Women's 100m Backstroke - S7 Heat 10,"100m costas feminino - S7, série 10","100m espalda femenino - S7, serie 10",EventUnit,15,ATH,N,Y,Heat 10,Série 10,Serie 10
SW,W,427,9,50,N,0,Women's 100m Backstroke - S7 Hts S-off,"100m costas fem - S7, elim, desempates","100m espalda fem-S7, elim., desempates",Women's 100m Backstroke - S7 Heats Swim-off,"100m costas feminino - S7, eliminatórias, desempates","100m espalda femenino - S7, eliminatorias, desempates",Phase,14,NONE,N,N,Heats Swim-off,"Eliminatórias, desempates","Eliminatorias, desempates"
