Id,Venue,LocationOrder,competition,ENG Description,POR Description,ENG longdescription,POR longdescription,Source
A01,OLS,1,Y,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,OLSAT1
A02,OLS,2,Y,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,OLSAT1
A03,OLS,3,Y,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,OLSAT1
A04,OLS,4,Y,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,OLSAT1
A05,OLS,5,Y,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,OLSAT1
A06,OLS,6,Y,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,OLSAT1
A07,OLS,7,Y,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,OLSAT1
A08,OLS,8,Y,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,OLSAT1
A09,OLS,9,Y,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,OLSAT1
A10,OLS,10,Y,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,OLSAT1
A11,OLS,11,Y,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,OLSAT1
A12,OLS,12,Y,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,OLSAT1
A13,FTC,13,Y,Fort Copacabana - Marathon,Forte de Copacabana - Maratona,Fort Copacabana - Marathon,Forte de Copacabana - Maratona,FTCAT1
AR1,SBD,1,Y,Sambódromo,Sambódromo,Sambódromo,Sambódromo,SBDAR1
BO1,CA2,1,Y,Carioca Arena 2 - Court 1,Arena Carioca 2 - Quadra 1,Carioca Arena 2 - Court 1,Arena Carioca 2 - Quadra 1,CA2BO1
BO2,CA2,2,Y,Carioca Arena 2 - Court 2,Arena Carioca 2 - Quadra 2,Carioca Arena 2 - Court 2,Arena Carioca 2 - Quadra 2,CA2BO1
BO3,CA2,3,Y,Carioca Arena 2 - Court 3,Arena Carioca 2 - Quadra 3,Carioca Arena 2 - Court 3,Arena Carioca 2 - Quadra 3,CA2BO1
BO4,CA2,4,Y,Carioca Arena 2 - Court 4,Arena Carioca 2 - Quadra 4,Carioca Arena 2 - Court 4,Arena Carioca 2 - Quadra 4,CA2BO1
BO5,CA2,5,Y,Carioca Arena 2 - Court 5,Arena Carioca 2 - Quadra 5,Carioca Arena 2 - Court 5,Arena Carioca 2 - Quadra 5,CA2BO1
BO6,CA2,6,Y,Carioca Arena 2 - Court 6,Arena Carioca 2 - Quadra 6,Carioca Arena 2 - Court 6,Arena Carioca 2 - Quadra 6,CA2BO1
CA1,CA1,,Y,Carioca Arena 1,Arena Carioca 1,Carioca Arena 1,Arena Carioca 1,
CA2,CA2,,Y,Carioca Arena 2,Arena Carioca 2,Carioca Arena 2,Arena Carioca 2,CA2BO1
CA3,CA3,,Y,Carioca Arena 3,Arena Carioca 3,Carioca Arena 3,Arena Carioca 3,CA3JU1
CF1,LAG,1,Y,Lagoa Stadium - Canoe Sprint,Estádio da Lagoa - CS,Lagoa Stadium - Canoe Sprint,Estádio da Lagoa - Canoagem Velocidade,LAGCF1
CR1,PON,1,Y,Pontal - Cycling Road,Pontal - Ciclismo de Estrada,Pontal - Cycling Road,Pontal - Ciclismo de Estrada,PONCR1
