Discipline,Gender,Event,order,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Team Event,Old DDGEEE
ALP,M,DH----------------,1,Men's Downhill,Descente hommes,남자 활강,Men's Downhill,Descente hommes,남자 활강,N,ASM010
ALP,M,SG----------------,2,Men's Super-G,Super-G hommes,남자 슈퍼대회전,Men's Super-G,Super-G hommes,남자 슈퍼대회전,N,ASM040
ALP,M,GS----------------,3,Men's Giant Slalom,Slalom géant hommes,남자 대회전,Men's Giant Slalom,Slalom géant hommes,남자 대회전,N,ASM030
ALP,M,SL----------------,4,Men's Slalom,Slalom hommes,남자 회전,Men's Slalom,Slalom hommes,남자 회전,N,ASM020
ALP,M,AC----------------,5,Men's Alpine Combined,Combiné alpin hommes,남자 복합,Men's Alpine Combined,Combiné alpin hommes,남자 복합,N,ASM105
ALP,W,DH----------------,6,Ladies' Downhill,Descente dames,여자 활강,Ladies' Downhill,Descente dames,여자 활강,N,ASW010
ALP,W,SG----------------,7,Ladies' Super-G,Super-G dames,여자 슈퍼대회전,Ladies' Super-G,Super-G dames,여자 슈퍼대회전,N,ASW040
ALP,W,GS----------------,8,Ladies' Giant Slalom,Slalom géant dames,여자 대회전,Ladies' Giant Slalom,Slalom géant dames,여자 대회전,N,ASW030
ALP,W,SL----------------,9,Ladies' Slalom,Slalom dames,여자 회전,Ladies' Slalom,Slalom dames,여자 회전,N,ASW020
ALP,W,AC----------------,10,Ladies' Alpine Combined,Combiné alpin dames,여자 복합,Ladies' Alpine Combined,Combiné alpin dames,여자 복합,N,ASW105
ALP,X,PLTEAM4-----------,11,Alpine Team Event,Epreuve par équipes,혼성 단체전,Alpine Team Event,Epreuve par équipes,혼성 단체전,Y,
ALP,-,------------------,,Alpine Skiing,Ski alpin,알파인 스키,Alpine Skiing,Ski alpin,알파인 스키,,AS0000
ALP,M,------------------,,Men's Alpine Skiing,Ski alpin hommes,알파인 스키 남자경기,Men's Alpine Skiing,Ski alpin hommes,알파인 스키 남자경기,,ASM000
ALP,W,------------------,,Ladies' Alpine Skiing,Ski alpin dames,알파인 스키 여자경기,Ladies' Alpine Skiing,Ski alpin dames,알파인 스키 여자경기,,ASW000
ALP,X,------------------,,Mixed Alpine Skiing,Ski alpin mixte,알파인 스키 혼성 단체 경기,Mixed Alpine Skiing,Ski alpin mixte,알파인 스키 혼성 단체 경기,,
ART,-,CIRCUS------------,,Circus / Street Arts,Cirque / Arts de la scène,서커스 / 거리예술,Circus / Street Arts,Cirque / Arts de la scène,서커스 / 거리예술,,AF0CRC
ART,-,COMEDY------------,,Comedy,Comédie,코메디,Comedy,Comédie,코메디,,AF0CMD
ART,-,DANCE-------------,,Dance,Danse,댄스,Dance,Danse,댄스,,AF0DNC
ART,-,DIGITAL-----------,,Digital / Film / Video,Arts médiatiques / film / vidéo,디지털 / 필름 / 비디오,Digital / Film / Video,Arts médiatiques / film / vidéo,디지털 / 필름 / 비디오,,AF0DGT
ART,-,LITERARY----------,,Literary Arts,Arts littéraires,문학 예술,Literary Arts,Arts littéraires,문학 예술,,AF0LTR
ART,-,MUSIC-------------,,Music,Musique,음악,Music,Musique,음악,,AF0MSC
ART,-,THEATRE-----------,,Theatre,Théâtre,극장,Theatre,Théâtre,극장,,AF0THT
ART,-,VISUAL------------,,Visual Arts,Arts Visuels,시각 예술,Visual Arts,Arts Visuels,시각 예술,,AF0VSL
BOB,M,TEAM2-------------,1,Two-man,Bob à deux hommes,남자 2인승,Two-man,Bob à deux hommes,남자 2인승,N,BSM020
BOB,O,TEAM4-------------,2,Four-man,Bob à quatre hommes,남자 4인승,Four-man,Bob à quatre hommes,남자 4인승,N,BSM040
BOB,W,TEAM2-------------,3,Women's,Bob à deux femmes,여자 2인승,Women's,Bob à deux femmes,여자 2인승,N,BSW020
BOB,-,------------------,,Bobsleigh,Bobsleigh,봅슬레이,Bobsleigh,Bobsleigh,봅슬레이,,BS0000
BOB,M,------------------,,Men's Bobsleigh,Bobsleigh hommes,봅슬레이 남자경기,Men's Bobsleigh,Bobsleigh hommes,봅슬레이 남자경기,,BSM000
BOB,O,------------------,,Open Bobsleigh,Open Bobsleigh,봅슬레이 오픈경기,Open Bobsleigh,Open Bobsleigh,봅슬레이 오픈경기,,
BOB,W,------------------,,Women's Bobsleigh,Bobsleigh femmes,봅슬레이 여자경기,Women's Bobsleigh,Bobsleigh femmes,봅슬레이 여자경기,,BSW000
BSN,-,------------------,,IBSF Events,Épreuves IBSF,IBSF 이벤트,IBSF Events,Épreuves IBSF,IBSF 이벤트,,FM0000
BTH,M,20KMIS------------,1,Men's 20km Individual,20km individuel hommes,남자 개인 20 km,Men's 20km Individual,20km individuel hommes,남자 개인 20 km,N,BTM020
BTH,M,10KMSP------------,2,Men's 10km Sprint,10km sprint hommes,남자 스프린트 10 km,Men's 10km Sprint,10km sprint hommes,남자 스프린트 10 km,N,BTM010
BTH,M,12.5KMPU----------,3,Men's 12.5km Pursuit,"12,5km poursuite hommes",남자 추적 12.5 km,Men's 12.5km Pursuit,"12,5km poursuite hommes",남자 추적 12.5 km,N,BTM512
BTH,M,15KMMS------------,4,Men's 15km Mass Start,15km départ groupé hommes,남자 단체출발 15 km,Men's 15km Mass Start,15km départ groupé hommes,남자 단체출발 15 km,N,BTM715
BTH,M,4X7.5KM-----------,5,Men's 4x7.5km Relay,"Relais 4x7,5km hommes",남자 계주 4 x 7.5 km,Men's 4x7.5km Relay,"Relais 4x7,5km hommes",남자 계주 4 x 7.5 km,Y,BTM407
BTH,W,15KMIS------------,6,Women's 15km Individual,15km individuel femmes,여자 개인 15 km,Women's 15km Individual,15km individuel femmes,여자 개인 15 km,N,BTW015
BTH,W,7.5KMSP-----------,7,Women's 7.5km Sprint,"7,5km sprint femmes",여자 스프린트 7.5 km,Women's 7.5km Sprint,"7,5km sprint femmes",여자 스프린트 7.5 km,N,BTW007
